created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,sanitized_tweet,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,sentiment_score,sentiment
Thu Sep 28 17:23:05 +0000 2023,1707445839541764132,"@KeretaCepatID Whoosh merupakan singkatan Waktu Hemat, Operasi Optimal, Sistem Handal ..... Apakah kata handal"" itu Bahasa Indonesia yang baku min @KeretaCepatID ?""",0,1,1,3,in,372831070,1707390525513621865,Fendi_oto,https://twitter.com/Fendi_oto/status/1707445839541764132,"['@keretacepatid', 'whoosh', 'rupa', 'singkat', 'hemat', 'operasi', 'optimal', 'sistem', 'handal', 'handal', 'bahasa', 'indonesia', 'baku', 'min', '@keretacepatid']",1,3,4,4,4,2,0,8,-13.0,negative
Thu Sep 28 17:12:47 +0000 2023,1707443248070066313,"@VIVAcoid buset, cuma krn kcic aja ampe xijiping dateng ke Indonesia. Ada apa nih?",0,0,0,3,in,236004490,1707401916656021658,rihasi,https://twitter.com/rihasi/status/1707443248070066313,"['vivacoid', 'buset', 'kcic', 'xijiping', 'indonesia', 'nih']",1,3,2,0,1,5,5,6,0.0,neutral
Thu Sep 28 17:09:35 +0000 2023,1707442440951759280,"@harsupp @kabarpenumpang @KeretaCepatID emang ada apa 1 tahun lagi, bandar jebol kah? ððð",0,2,0,2,in,872509886126407681,1707369714299867242,jumjumareka,https://twitter.com/jumjumareka/status/1707442440951759280,"['harsupp', 'kabarpenumpang', '@keretacepatid', '1', 'bandar', 'jebol', 'kah', '']",1,3,4,1,6,1,7,7,-4.0,negative
Thu Sep 28 17:04:38 +0000 2023,1707441197533560999,@kabarpenumpang @KeretaCepatID Ta kalau bahasa Kalbu mah Titi DJ,0,0,0,0,in,131143060,1707369714299867242,Txtfromfomo,https://twitter.com/Txtfromfomo/status/1707441197533560999,"['kabarpenumpang', '@keretacepatid', 'ta', 'bahasa', 'kalbu', 'mah', 'titi', 'dj']",1,3,4,1,6,1,7,7,-10.0,negative
Thu Sep 28 17:02:05 +0000 2023,1707440552265056655,"@pejuangnafkah87 @KeretaCepatID Jadi, infonya tanggal 2 nanti, mundur dari jadwal awal tanggal 1",0,0,0,0,in,1663704293256630272,1707030594683560066,Kecyy36,https://twitter.com/Kecyy36/status/1707440552265056655,"['pejuangnafkah87', '@keretacepatid', 'info', 'tanggal', '2', 'mundur', 'jadwal', 'tanggal', '1']",1,3,4,4,4,7,0,8,-11.0,negative
Thu Sep 28 16:58:45 +0000 2023,1707439716055019670,"@KeretaCepatID Min ujicobanya perpanjang smpe tgl 1 min,katanya di resmikan nya mundur 1 hari",0,0,0,0,in,1663704293256630272,1707390525513621865,Kecyy36,https://twitter.com/Kecyy36/status/1707439716055019670,"['@keretacepatid', 'min', 'ujicobanya', 'tanggal', '1', 'minkatanya', 'resmi', 'nya', 'mundur', '1']",2,2,0,5,0,7,2,1,-2.0,negative
Thu Sep 28 16:55:00 +0000 2023,1707438770235310148,@kabarpenumpang @KeretaCepatID Wajarlahâ¦namanya juga Kereta Cepat Indonesia  Cina,0,0,0,0,in,56015859,1707369714299867242,ayiful,https://twitter.com/ayiful/status/1707438770235310148,"['kabarpenumpang', '@keretacepatid', 'wajar nama', 'kereta', 'cepat', 'indonesia', 'cina']",0,1,1,1,6,1,7,7,-7.0,negative
Thu Sep 28 16:41:02 +0000 2023,1707435256268419551,hari ini berkesempatan mencoba @KeretaCepatID  WHOOSH WHOOSH ð https://t.co/ofJx9Xwxh2,0,1,0,2,in,1513386314812772354,1707435256268419551,rezarhmt_,https://twitter.com/rezarhmt_/status/1707435256268419551,"['coba', '@keretacepatid', 'whoosh', 'whoosh', '']",0,1,1,3,5,4,3,2,-1.0,negative
Thu Sep 28 16:37:23 +0000 2023,1707434340333089066,Di foto atas yg jepret KCIC dgn latar depan ada orangÂ². Iya ngerti relnya jauh lebih lebar dari kereta KAI di Jawa. Tapi agak kaget jg komposisi perbandingan ukuran orang dgn KCIC mencolok keretanya keliatan gedeee bgt.,0,0,0,0,in,3314456581,1707434340333089066,RyanPMardiko,https://twitter.com/RyanPMardiko/status/1707434340333089066,"['foto', 'jepret', 'kcic', 'latar', 'orang', 'iya', 'erti', 'rel', 'lebar', 'kereta', 'kai', 'jawa', 'kaget', 'komposisi', 'banding', 'ukur', 'orang', 'kcic', 'colok', 'kereta', 'lihat', 'gedeee', 'banget']",1,3,2,0,1,5,5,6,-12.0,negative
Thu Sep 28 16:17:26 +0000 2023,1707429316475441384,"Seru liat komen orang Malaysia ð¤£ ada yang bilang :   1. KCIC rute nya pendek cuma JKT-BDG (ya benar kawand, biasalah java centris wkkw)  2. Harganya mahal (iya bener lagi, Cikuray pride nyimak)  3. Debt ke CH numpuk (y tar dilunasin anak cucu doain)",0,5,0,0,in,945286701915586561,1707429316475441384,nimoncros,https://twitter.com/nimoncros/status/1707429316475441384,"['seru', 'lihat', 'komen', 'orang', 'malaysia', '', 'bilang', '1', 'kcic', 'rute', 'nya', 'pendek', 'jakartabdg', 'ya', 'kawand', 'java', 'centris', 'wkkw', '2', 'harga', 'mahal', 'iya', 'cikuray', 'pride', 'simak', '3', 'debt', 'ch', 'numpuk', 'ya', 'entar', 'dilunasin', 'anak', 'cucu', 'doain']",1,3,2,0,1,5,5,6,-5.0,negative
Thu Sep 28 16:11:03 +0000 2023,1707427711726334438,@Tan_Mar3M Si soneo sekarang sudah jadi orang suruhannya pak lurah doank diiming iming jadi RI 2 tapi ditolak emaknya lurah eh malah lurah mulai ngelawan anaknya dipindahin ke partai lain Kasihan soneo akar rumput nya pada mbelot jadilah kereta cepat tapi kosong penumpangnya KCIC  BEBAN,0,0,0,6,in,1515320641955655684,1707263793494159797,Rusdian81164807,https://twitter.com/Rusdian81164807/status/1707427711726334438,"['tan mar3m', 'sih', 'soneo', 'orang', 'suruh', 'lurah', 'doang', 'diiming', 'iming', 'ri', '2', 'tolak', 'emaknya', 'lurah', 'eh', 'lurah', 'lawan', 'anak', 'dipindahin', 'partai', 'kasihan', 'soneo', 'akar', 'rumput', 'nya', 'mbelot', 'kereta', 'cepat', 'kosong', 'tumpang', 'kcic', 'beban']",1,3,2,0,1,5,5,6,-33.0,negative
Thu Sep 28 15:55:46 +0000 2023,1707423865188831573,"@ravaindiarta @arioadimas betul wacananya muncul dari akhir taun lalu, ya demi kcic",0,0,0,0,in,236745798,1707259678609256678,pandamlaks,https://twitter.com/pandamlaks/status/1707423865188831573,"['ravaindiarta', 'arioadimas', 'wacana', 'muncul', 'ya', 'kcic']",1,3,2,0,1,5,5,6,-2.0,negative
Thu Sep 28 15:52:39 +0000 2023,1707423082280013888,@kabarpenumpang @KeretaCepatID blm dipatch,0,0,0,1,in,78189023,1707369714299867242,sonswsw,https://twitter.com/sonswsw/status/1707423082280013888,"['kabarpenumpang', '@keretacepatid', 'dipatch']",1,3,4,1,6,1,7,7,0.0,neutral
Thu Sep 28 15:34:41 +0000 2023,1707418557603258402,@KeretaCepatID Min mending bales dm aku dulu ð­ð«¶,0,0,0,0,in,1653776516222971907,1707390525513621865,AnonymXav,https://twitter.com/AnonymXav/status/1707418557603258402,"['@keretacepatid', 'min', 'mending', 'balas', 'dm', '']",2,2,0,5,0,3,2,1,-6.0,negative
Thu Sep 28 15:32:22 +0000 2023,1707417976398623001,@harjonoabi @Adrianussatrio @KeretaCepatID kalau anggaran pendidikan kesehatan kita rendah setuju,0,0,0,1,in,166491155,1707389414283043149,SultanMafty,https://twitter.com/SultanMafty/status/1707417976398623001,"['harjonoabi', 'adrianussatrio', '@keretacepatid', 'anggar', 'didik', 'sehat', 'rendah', 'tuju']",1,3,4,4,4,2,0,8,-10.0,negative
Thu Sep 28 15:31:30 +0000 2023,1707417756579291317,@kabarpenumpang @KeretaCepatID pembahasan menarik nih ð½,0,0,0,0,in,1590133242,1707369714299867242,garleana123,https://twitter.com/garleana123/status/1707417756579291317,"['kabarpenumpang', '@keretacepatid', 'bahas', 'tarik', 'nih', '']",1,3,4,1,6,1,7,7,4.0,positive
Thu Sep 28 15:24:15 +0000 2023,1707415935760695759,@kabarpenumpang @KeretaCepatID KCIC = Kondekturnya Cakap Indonesian &amp  Chinese,0,0,0,1,in,79491765,1707369714299867242,jeffreysantio,https://twitter.com/jeffreysantio/status/1707415935760695759,"['kabarpenumpang', '@keretacepatid', 'kcic', 'kondektur', 'cakap', 'indonesian', 'chinese']",1,3,4,1,6,1,7,7,-4.0,negative
Thu Sep 28 14:58:04 +0000 2023,1707409343833092389,"@harjonoabi @Adrianussatrio @KeretaCepatID MRT juga pake APBN.... sama toh, ga takut juga kan",0,2,0,1,in,166491155,1707389414283043149,SultanMafty,https://twitter.com/SultanMafty/status/1707409343833092389,"['harjonoabi', 'adrianussatrio', '@keretacepatid', 'mrt', 'pakai', 'apbn', 'takut']",1,3,4,4,4,2,0,8,-4.0,negative
Thu Sep 28 14:55:41 +0000 2023,1707408745297572080,"@mie_1923 Engga dong biar bisa curi2 tidur sama ngopi, w yakin penumpang yg cakepan mah pada pindah ke KCIC pasti",0,0,0,1,in,102914161,1707400346136674666,hyvaikal,https://twitter.com/hyvaikal/status/1707408745297572080,"['mie 1923', 'biar', 'curi2', 'tidur', 'ngopi', 'gue', 'tumpang', 'cakep', 'mah', 'pindah', 'kcic']",1,3,2,0,1,5,5,6,-7.0,negative
Thu Sep 28 14:48:46 +0000 2023,1707407002866274333,@kabarpenumpang @KeretaCepatID Kan PT KCIC,0,0,0,0,in,150850598,1707369714299867242,RezDenn,https://twitter.com/RezDenn/status/1707407002866274333,"['kabarpenumpang', '@keretacepatid', 'pt', 'kcic']",1,3,4,1,6,1,7,7,0.0,neutral
Thu Sep 28 14:45:28 +0000 2023,1707406172876427303,"@SultanMafty @Adrianussatrio @KeretaCepatID He...he....itukan hitungan bisnis, itu baru biaya operasional ya, belum buat bayar Cicilan hutangnya yang nauzubillah besarnya. Makanya APBN diminta sebagai jaminan, karena secara hitung-hitungan B to B pemasukan tiket, pendapatan lain2 di luar tiket gak akan mampu menutupinya",0,2,0,0,in,231327294,1707389414283043149,harjonoabi,https://twitter.com/harjonoabi/status/1707406172876427303,"['sultanmafty', 'adrianussatrio', '@keretacepatid', 'heheitukan', 'hitung', 'bisnis', 'biaya', 'operasional', 'ya', 'bayar', 'cicil', 'hutang', 'nauzubillah', 'apbn', 'jamin', 'hitunghitungan', 'b', 'b', 'pasu', 'tiket', 'lain2', 'tiket', 'tutup']",1,3,2,4,1,0,8,4,-7.0,negative
Thu Sep 28 14:44:35 +0000 2023,1707405950662164882,@motherofcattt @KeretaCepatID Gokil,0,1,0,0,en,260219548,1707394081071169742,Arlaan27,https://twitter.com/Arlaan27/status/1707405950662164882,"['motherofcattt', '@keretacepatid', 'gila']",1,3,4,4,4,2,0,8,-4.0,negative
Thu Sep 28 14:44:26 +0000 2023,1707405912556851289,@Paltiwest @KeretaCepatID V max nya bukanya 350 Kpj ya,0,1,1,1,in,1704431681518919680,1707232488236712092,soeramang,https://twitter.com/soeramang/status/1707405912556851289,"['paltiwest', '@keretacepatid', 'v', 'max', 'nya', 'buka', '350', 'kpj', 'ya']",1,3,4,4,4,2,0,8,1.0,positive
Thu Sep 28 14:40:29 +0000 2023,1707404921233129618,@KeretaCepatID ada yg tau info tarif parkir di stasiun Halim ?,0,1,0,0,in,3044981024,1707390525513621865,Killmongahh,https://twitter.com/Killmongahh/status/1707404921233129618,"['@keretacepatid', 'tau', 'info', 'tarif', 'parkir', 'stasiun', 'halim']",1,3,4,4,3,6,0,3,-6.0,negative
Thu Sep 28 14:39:29 +0000 2023,1707404666462724270,"@KeretaCepatID Pernah lihat versi yang sedang ditarik lokomotif merah, itu juga bagian dari simulasi penanganan masalah sebelum beroperasi min",0,0,0,1,in,150977870,1707390525513621865,sakura_tajo,https://twitter.com/sakura_tajo/status/1707404666462724270,"['@keretacepatid', 'lihat', 'versi', 'tarik', 'lokomotif', 'merah', 'simulasi', 'tangan', 'operasi', 'min']",1,3,4,4,4,2,0,8,4.0,positive
Thu Sep 28 14:39:28 +0000 2023,1707404663967170669,@harjonoabi @Adrianussatrio @KeretaCepatID Lagi lagi orang yang mikir pendapatan kereta paling besar itu dari tiket....,0,2,0,5,in,166491155,1707389414283043149,SultanMafty,https://twitter.com/SultanMafty/status/1707404663967170669,"['harjonoabi', 'adrianussatrio', '@keretacepatid', 'orang', 'mikir', 'kereta', 'tiket']",1,3,4,4,4,0,8,4,-7.0,negative
Thu Sep 28 14:39:20 +0000 2023,1707404628885962955,"@kabarpenumpang @KeretaCepatID kayanya emang kaya gini prosedurnya, temenku yg jd kondektur kereta cepat wajib belajar bahasa mandarin",0,0,0,0,in,320175266,1707369714299867242,ongisepur,https://twitter.com/ongisepur/status/1707404628885962955,"['kabarpenumpang', '@keretacepatid', 'kaya', 'kayak', 'prosedur', 'temenku', 'kondektur', 'kereta', 'cepat', 'wajib', 'ajar', 'bahasa', 'mandarin']",0,1,1,1,6,1,7,9,-25.0,negative
Thu Sep 28 14:32:43 +0000 2023,1707402964019851345,@kabarpenumpang @KeretaCepatID kan kereta cina,0,0,0,0,in,204607262,1707369714299867242,danangzu,https://twitter.com/danangzu/status/1707402964019851345,"['kabarpenumpang', '@keretacepatid', 'kereta', 'cina']",0,1,1,1,6,1,7,7,-4.0,negative
Thu Sep 28 14:27:54 +0000 2023,1707401754760077581,@Septianalfian22 @KeretaCepatID @KAI121 @keretaapikita @CRRC_global @jalur5_ @GM_MarKA @jurnalrailfans @EdanSepurID @EmirMonti Masa?,0,0,0,0,in,1328855907585802242,1707341982958493827,AluqmanBj,https://twitter.com/AluqmanBj/status/1707401754760077581,"['septianalfian22', '@keretacepatid', 'kai121', 'keretaapikita', 'crrc global', 'jalur5', 'gm marka', 'jurnalrailfans', 'edansepurid', 'emirmonti']",1,3,4,4,4,2,0,5,0.0,neutral
Thu Sep 28 14:22:19 +0000 2023,1707400346136674666,"Nah gini udah gih pada naek kcic, w mah bengong buka laptop di restorasi Gopar aja biar bisa kerja",0,2,0,0,in,102914161,1707400346136674666,hyvaikal,https://twitter.com/hyvaikal/status/1707400346136674666,"['gih', 'kcic', 'gue', 'mah', 'bengong', 'buka', 'laptop', 'restorasi', 'gopar', 'biar', 'kerja']",1,3,2,0,1,5,5,6,-4.0,negative
Thu Sep 28 14:21:23 +0000 2023,1707400111314407765,"@kabarpenumpang @KeretaCepatID Mungkin karena masih tahap uji coba kali ya(?) Jadinya ada masinis/teknisi pendamping dari pihak perusahaan cina nya, walaupun masinis dari Indonesia udh dapet pelatihan, buat make sure aja ke kedua belah pihak klo keretanya berjalan dengan baik tanpa kendala/hambatan. But CMIIW!",0,2,1,48,in,1251535996413292546,1707369714299867242,sone5zero97B,https://twitter.com/sone5zero97B/status/1707400111314407765,"['kabarpenumpang', '@keretacepatid', 'tahap', 'uji', 'coba', 'kali', 'ya', 'masinisteknisi', 'damping', 'usaha', 'cina', 'nya', 'masinis', 'indonesia', 'latih', 'pakai', 'sure', 'belah', 'kalo', 'kereta', 'jalan', 'kendalahambatan', 'but', 'cmiiw']",1,3,4,1,6,1,3,7,-10.0,negative
Thu Sep 28 14:18:50 +0000 2023,1707399469963280658,"@Adrianussatrio Usahakan pemasukan tiket bisa nutup biaya operasional @KeretaCepatID , kalau nggak ,bisa nggerogotin APBN yg sudah ngos-ngosan buat bayar hutangnya ð",1,4,0,6,in,231327294,1707389414283043149,harjonoabi,https://twitter.com/harjonoabi/status/1707399469963280658,"['adrianussatrio', 'usaha', 'pasu', 'tiket', 'nutup', 'biaya', 'operasional', '@keretacepatid', 'nggerogotin', 'apbn', 'ngosngosan', 'bayar', 'hutang', '']",1,3,2,4,1,5,5,6,-12.0,negative
Thu Sep 28 14:12:25 +0000 2023,1707397856427122828,"Gagal ikut ujicoba @KeretaCepatID gpp deh, target hrs bs nyoba Whoosh pas tarif khusus",0,1,0,0,in,79883825,1707397856427122828,ali_njajali,https://twitter.com/ali_njajali/status/1707397856427122828,"['gagal', 'ujicoba', '@keretacepatid', 'apaapa', 'deh', 'target', 'coba', 'whoosh', 'pas', 'tarif', 'khusus']",1,3,4,4,4,2,3,8,-2.0,negative
Thu Sep 28 14:08:43 +0000 2023,1707396923395846491,@CopetJatinegar4 Lho...? Katanya  abis nyopet di KCIC.. ððð¤­,0,0,0,1,in,1557398948825903104,1707261111232602184,AndiPitopang7,https://twitter.com/AndiPitopang7/status/1707396923395846491,"['copetjatinegar4', 'lho', 'habis', 'nyopet', 'kcic', '']",1,3,2,0,1,5,5,6,-3.0,negative
Thu Sep 28 14:00:15 +0000 2023,1707394793154953687,"@abetsym @rizqi_prima @ade_ridwan14 @selviabudiani @YellyLhsnhh @RachmalinD @diansandi_N @wildan46508 @KeretaCepatID @doraemonmon @FennyOktavianii @irfan_budiawan_ @Killmongahh @Svastya @y0urskies @Ivan8430 @AnonymXav @indraahmadfauz1 @QintharaAvanza @afii90 Iyaaa, katanyaa nanti kalo ketemu petugasnyaa tinggal nunjukin ktp dehh",0,0,0,0,in,1859810143,1705195969896468684,dupadupp,https://twitter.com/dupadupp/status/1707394793154953687,"['abetsym', 'rizqi prima', 'ade ridwan14', 'selviabudiani', 'yellylhsnhh', 'rachmalind', 'diansandi n', 'wildan46508', '@keretacepatid', 'doraemonmon', 'fennyoktavianii', 'irfan budiawan', 'killmongahh', 'svastya', 'y0urskies', 'ivan8430', 'anonymxav', 'indraahmadfauz1', 'qintharaavanza', 'afii90', 'iya', 'kalo', 'ketemu', 'petugasnyaa', 'tinggal', 'nunjukin', 'ktp', 'deh']",1,3,4,4,4,2,0,8,-2.0,negative
Thu Sep 28 13:59:54 +0000 2023,1707394708346192023,@kabarpenumpang @KeretaCepatID Ga ada harga diri negara ini,0,0,0,2,in,168927154,1707369714299867242,bungachda,https://twitter.com/bungachda/status/1707394708346192023,"['kabarpenumpang', '@keretacepatid', 'harga', 'negara']",1,3,4,1,6,1,7,7,3.0,positive
Thu Sep 28 13:59:17 +0000 2023,1707394549256188319,Belum apa apa udah di serang hoax semangat ya minn @KeretaCepatID ð¤,0,0,0,1,in,1295106533810827264,1707394549256188319,mrhnag,https://twitter.com/mrhnag/status/1707394549256188319,"['serang', 'hoax', 'semangat', 'ya', 'minn', '@keretacepatid', '']",1,3,4,4,4,2,0,8,-6.0,negative
Thu Sep 28 13:53:23 +0000 2023,1707393065386991881,@kabarpenumpang @KeretaCepatID Apakah nanti masinis ada dari lokal @KeretaCepatID,0,1,0,1,in,994717316318248960,1707369714299867242,deanda_andi,https://twitter.com/deanda_andi/status/1707393065386991881,"['kabarpenumpang', '@keretacepatid', 'masinis', 'lokal', '@keretacepatid']",1,3,4,1,6,1,7,7,0.0,neutral
Thu Sep 28 13:51:48 +0000 2023,1707392667318092245,@detikcom Menteri dengan kinerja sekelas ini yang justru dibuang oleh Jokowi karena menolak dengan tegas proyek dajjal KCIC.  Karena dari perhitungan awal proyek tersebut sudah diprediksi akan merugikan.,0,0,0,1,in,343857493,1707251622425018818,RanDNgrh,https://twitter.com/RanDNgrh/status/1707392667318092245,"['detikcom', 'menteri', 'kerja', 'kelas', 'buang', 'jokowi', 'tolak', 'proyek', 'dajjal', 'kcic', 'hitung', 'proyek', 'prediksi', 'rugi']",1,3,2,0,1,5,5,6,-13.0,negative
Thu Sep 28 13:49:54 +0000 2023,1707392191637971295,@kabarpenumpang @KeretaCepatID Bang bang bang @ridwanhr,0,0,0,0,tl,66975191,1707369714299867242,liranti,https://twitter.com/liranti/status/1707392191637971295,"['kabarpenumpang', '@keretacepatid', 'bang', 'bang', 'bang', 'ridwanhr']",1,3,4,1,6,2,7,7,0.0,neutral
Thu Sep 28 13:46:45 +0000 2023,1707391396632821952,@GowessRyan @kabarpenumpang @KeretaCepatID apa si,0,0,0,19,in,1279434723299713024,1707369714299867242,pamungkas_jra,https://twitter.com/pamungkas_jra/status/1707391396632821952,"['gowessryan', 'kabarpenumpang', '@keretacepatid', 'sih']",1,3,4,1,6,1,7,7,0.0,neutral
Thu Sep 28 13:30:46 +0000 2023,1707387372772688364,"@tempodotco Kagak ada lagi bendera setengah tiang, berganti hingar bingar KCIC.",0,0,0,0,in,1037719827996000257,1707386327958966616,WariorXman,https://twitter.com/WariorXman/status/1707387372772688364,"['tempodotco', 'kagak', 'bendera', 'tiang', 'ganti', 'hingar', 'bingar', 'kcic']",1,3,2,0,1,5,5,6,-14.0,negative
Thu Sep 28 13:25:11 +0000 2023,1707385969278849098,@kabarpenumpang @KeretaCepatID masinisnya masih import,0,0,0,2,in,1214036437382750208,1707369714299867242,bukandeng,https://twitter.com/bukandeng/status/1707385969278849098,"['kabarpenumpang', '@keretacepatid', 'masinis', 'import']",1,3,4,1,6,1,7,7,2.0,positive
Thu Sep 28 13:23:09 +0000 2023,1707385456126730706,@kabarpenumpang @KeretaCepatID yaudah besok ditambah bilingual bahasa arab biar impas . itu kan yg kau mau ?,6,55,3,15,in,1371404624217841668,1707369714299867242,GowessRyan,https://twitter.com/GowessRyan/status/1707385456126730706,"['kabarpenumpang', '@keretacepatid', 'yaudah', 'besok', 'bilingual', 'bahasa', 'arab', 'biar', 'impas', 'kau']",1,3,4,1,6,1,7,7,-14.0,negative
